date,supply_petroleum,supply_motorgas
21-Aug-09,19473,9105
28-Aug-09,19713,9478
4-Sep-09,19522,9283
11-Sep-09,19104,9001
18-Sep-09,18476,8790
25-Sep-09,18909,9126
2-Oct-09,18733,9269
9-Oct-09,18936,9256
16-Oct-09,18669,8950
23-Oct-09,18523,8858
30-Oct-09,19144,9015
6-Nov-09,18315,8844
13-Nov-09,18506,9015
20-Nov-09,18820,9092
27-Nov-09,18323,8943
4-Dec-09,18348,9012
11-Dec-09,19572,8963
18-Dec-09,19377,9045
25-Dec-09,19062,9074
1-Jan-10,18755,8741
8-Jan-10,18637,8740
15-Jan-10,18736,8602
22-Jan-10,18884,8619
29-Jan-10,18742,8613
5-Feb-10,19261,8766
12-Feb-10,19092,8521
19-Feb-10,19283,9064
